state_code,year,indicator_name,value,pillar
JOH,2025,coastal_area_fraction,0.149069,Environmental
JOH,2025,estimated_coastal_hotels,8.0,Environmental
JOH,2025,estimated_pa_hotels,19.0,Environmental
JOH,2025,green_hotel_count,3.0,Environmental
JOH,2025,green_hotel_share,0.05357142857142857,Environmental
JOH,2025,n_rivers,18.0,Environmental
JOH,2025,pa_area_fraction,0.332475,Environmental
JOH,2025,waste_tonnes,,Environmental
JOH,2025,wqi_annual,58.61,Environmental
JOH,2025,domestic_visitors_000,18196.973,Social
JOH,2025,hh_water_access,,Social
JOH,2025,hotel_density_per_capita,,Social
JOH,2025,motac_hotels_rated_count,56.0,Social
JOH,2025,population,,Social
KDH,2020,alos_nights,1.97006129028332,Economic
KDH,2020,avg_expenditure_rm,219.32925432476,Economic
KDH,2020,dts_hotels_count,350.0,Economic
KDH,2020,dts_rooms_count,26308.0,Economic
KDH,2020,expenditure_per_visitor,224.83906405357928,Economic
KDH,2020,international_arrivals_share,,Economic
KDH,2020,tourism_concentration_ratio,4.742462231397204,Economic
KDH,2020,tourism_receipts_rm_mil,2272.69214593496,Economic
KDH,2020,tourism_trips_000,10362.011,Economic
KDH,2020,coastal_area_fraction,0.189091,Environmental
KDH,2020,estimated_coastal_hotels,9.0,Environmental
KDH,2020,estimated_pa_hotels,7.0,Environmental
KDH,2020,green_hotel_count,4.0,Environmental
KDH,2020,green_hotel_share,0.08163265306122448,Environmental
KDH,2020,n_rivers,60.0,Environmental
KDH,2020,pa_area_fraction,0.150983,Environmental
KDH,2020,waste_tonnes,,Environmental
KDH,2020,wqi_annual,81.03,Environmental
KDH,2020,domestic_visitors_000,10108.084,Social
KDH,2020,hh_water_access,99.5,Social
KDH,2020,hotel_density_per_capita,2.2989584310781646,Social
KDH,2020,motac_hotels_rated_count,49.0,Social
KDH,2020,population,2131.4,Social
KDH,2021,alos_nights,1.96227888195383,Economic
KDH,2021,avg_expenditure_rm,198.597143510098,Economic
KDH,2021,dts_hotels_count,350.0,Economic
KDH,2021,dts_rooms_count,26308.0,Economic
KDH,2021,expenditure_per_visitor,209.34749823011475,Economic
KDH,2021,international_arrivals_share,,Economic
KDH,2021,tourism_concentration_ratio,1.869685365060185,Economic
KDH,2021,tourism_receipts_rm_mil,842.205404074748,Economic
KDH,2021,tourism_trips_000,4240.773,Economic
KDH,2021,coastal_area_fraction,0.189091,Environmental
KDH,2021,estimated_coastal_hotels,9.0,Environmental
KDH,2021,estimated_pa_hotels,7.0,Environmental
